X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;RATE
913486376;366608848;731368396;607500720;402796646;105081,08;305985656;1667439;337,07 ;32288314;34816001;3990;68,04725623;3,66;62,59;1,06;1,39E-05;1,09;3,66;80,06;20,81;66,5;18,89;61,71;15,25;-0,0012 ;5,11;11,5;1,8458 ;50,37;12,46;3,81;5,73;63,12;95,38;22,78;12,11;0,9597 ;0,0602 ;1
613298831;165529950;338453558;407926442;284981827;116206,37;205372388;1941650;256,05 ;44826861;45690100;6751;68,04725623;8,69;62,52;-0,53;-7,36E-06;-0,59;2,4;55,19;13,3;66,51;12,1;75,81;17,84;0,1584 ;5,97;18,95;1,7761 ;50,35;-45,01;7,75;11,76;133,46;206,95;44,96;24,39;1,3860 ;0,0388 ;1
1285709386;807477255;958343788;754400628;1086087200;443256,06;531308759;3828880;196,22 ;62017355;44038404;4496;68,04725623;5,16;54,66;1,97;4,03E-05;2,04;4,24;74,54;23,75;58,68;3,79;10,06;20,33;0,0166 ;8,4;34,48;7,0839 ;70,43;3,26;3,49;6,07;138,11;107,64;11,32;4,45;1,1689 ;0,1012 ;1
7254476523;3540379378;5955596210;4093684000;6869244628;2000146,521;3313858932;26695000;467,46 ;658493000;641379000;1743;59;9,19;24,74;0,02;9,96E-07;0,02;3,35;67,94;16,51;44,92;16,6;10,23;32,55;-0,0729 ;17,93;31,11;0,9625 ;122,6;243,89;7,31;17,13;35,63;43,35;18,33;5,7;0,9861 ;0,1935 ;1
7254476523;982637745;4726842454;3451015007;6869244628;747556,41;3313858932;32418000;2882,36 ;242504544;77372056;492;51;4,31;33,59;0,06;6,31E-06;0,06;0,13;59,36;23,08;43,34;9,5;38,76;10,06;0,1632 ;5,7;9,39;1,5991 ;130,73;6,43;0,99;2,31;30,3;15,83;2,29;0,34;1,0009 ;0,0793 ;1
2612241260;1032164854;2222285102;1289777178;2270533435;526011,05;1322464082;35632526;647,61 ;196874519;107270732;3902;50;8,04;44,23;1,85;3,18E-05;1,87;4,53;85,07;34,1;49,37;60,65;72,61;19,83;-0,0190 ;10,04;20,14;1,9756 ;102,53;4,63;4,03;8,61;142,67;110,8;32,18;6,73;0,7039 ;0,1877 ;1
1455766472;225777653;721297034;553797339;6869244628;296484,07;901969132;9189063;2882,36 ;140032337;94436459;1552;50;10,16;16,63;0,15;3,24E-05;0,15;0,05;49,55;20,81;38,04;22,69;52,26;13,91;0,0381 ;8,62;20,37;0,5363 ;162,87;5,37;6,1;18,22;41,19;37,56;2,58;0,65;1,0206 ;0,0741 ;1
251904595;115223033;132711304;188888486;182104311;39472,41;63016109;1007614;193,32 ;9450344;7849415;12348;48;5,15;73,46;-1,31;-3,80E-05;-1,33;1,44;52,68;1,15;74,98;33,76;44,39064103;29,75;1,3008 ;7,44;15,67;3,1411 ;33,36;-4,2;3,17;4,22;225,01;295,96;28,41;6,83;1,5227 ;0,0716 ;1
559306004;215364049;451371503;251227464;528920711;196332,04;308078540;4614479;227,98 ;53658675;34889045;7505;47;9,77;43,07;3,09;5,30E-05;3,27;3,17;80,7;37,57;44,92;23,65;40,74;11,17;-0,0112 ;6,15;35,1;5,1427 ;122,63;3,99;6,23;14,85;200,15;182,34;41,82;9,24;0,8637 ;0,1276 ;1
779148054;335349306;582126266;622719701;300431710;96788,97;156428354;2831875;380,29 ;698396;13013554;1101;46;0,55;70,95;-1,19;-2,29E-05;-1,14;9,53;74,71;3,85;79,92;23,04;33,33;34,75;-0,1736 ;6,98;12,42;1,1749 ;25,12;-3,51;1,65;2,07;1;23,14;16,57;5,38;1,2108 ;0,0298 ;1
